ID,1_percentage,1_counts,2_percentage,2_counts,3_percentage,3_counts,4_percentage,4_counts,5_percentage,5_counts,6_percentage,6_counts,7_percentage,7_counts,8_percentage,8_counts,9_percentage,9_counts,10_percentage,10_counts,11_percentage,11_counts,12_percentage,12_counts,13_percentage,13_counts,14_percentage,14_counts,15_percentage,15_counts,16_percentage,16_counts,17_percentage,17_counts,18_percentage,18_counts
100_169_183454_10,56.93,665.0,5.39,63.0,9.76,114.0,3.34,39.0,3.6,42.0,1.03,12.0,7.53,88.0,0.09,1.0,0.17,2.0,0.6,7.0,0.43,5.0,0.6,7.0,0.0,0.0,3.42,40.0,0.17,2.0,0.86,10.0,1.63,19.0,0.26,3.0
4_105_173776_63,82.77,197.0,5.46,13.0,1.26,3.0,2.1,5.0,1.26,3.0,0.0,0.0,2.1,5.0,0.0,0.0,0.0,0.0,0.42,1.0,0.0,0.0,0.84,2.0,0.0,0.0,0.84,2.0,0.0,0.0,0.42,1.0,0.0,0.0,0.0,0.0
3_120_175891_22,50.35,217.0,4.18,18.0,1.16,5.0,3.48,15.0,10.9,47.0,0.23,1.0,20.42,88.0,0.0,0.0,0.23,1.0,0.0,0.0,0.7,3.0,0.93,4.0,0.0,0.0,4.64,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_45_165706_4,53.27,448.0,7.37,62.0,2.62,22.0,2.97,25.0,4.52,38.0,0.71,6.0,15.58,131.0,0.24,2.0,0.0,0.0,0.12,1.0,0.48,4.0,1.19,10.0,0.0,0.0,5.59,47.0,0.59,5.0,0.48,4.0,0.71,6.0,0.24,2.0
4_165_182962_4,48.7,206.0,8.27,35.0,1.65,7.0,2.36,10.0,7.33,31.0,0.0,0.0,22.7,96.0,0.24,1.0,0.0,0.0,0.0,0.0,0.24,1.0,0.24,1.0,0.0,0.0,5.44,23.0,0.0,0.0,0.24,1.0,0.24,1.0,0.24,1.0
3_101_173158_7,47.37,378.0,9.27,74.0,1.38,11.0,2.13,17.0,3.76,30.0,0.25,2.0,23.06,184.0,0.0,0.0,0.0,0.0,0.25,2.0,1.13,9.0,1.5,12.0,0.0,0.0,6.52,52.0,0.0,0.0,0.25,2.0,0.38,3.0,0.0,0.0
3_97_172687_62,36.29,168.0,12.1,56.0,0.22,1.0,3.02,14.0,6.05,28.0,0.0,0.0,28.73,133.0,0.22,1.0,0.0,0.0,0.0,0.0,1.94,9.0,1.08,5.0,0.0,0.0,7.78,36.0,0.0,0.0,0.0,0.0,0.22,1.0,0.0,0.0
2_18_162700_24,61.22,30.0,12.24,6.0,4.08,2.0,0.0,0.0,6.12,3.0,0.0,0.0,6.12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,1.0,2.04,1.0,0.0,0.0
4_158_182020_117,59.56,352.0,3.72,22.0,0.85,5.0,7.11,42.0,4.06,24.0,0.17,1.0,17.77,105.0,0.34,2.0,0.0,0.0,0.0,0.0,0.68,4.0,0.34,2.0,0.0,0.0,1.69,10.0,0.0,0.0,0.0,0.0,0.51,3.0,0.0,0.0
4_168_183352_1,87.14,61.0,1.43,1.0,7.14,5.0,0.0,0.0,1.43,1.0,0.0,0.0,2.86,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_17_162346_13,28.94,134.0,6.48,30.0,1.73,8.0,1.51,7.0,7.99,37.0,0.0,0.0,40.82,189.0,0.0,0.0,0.0,0.0,0.22,1.0,2.16,10.0,1.51,7.0,0.0,0.0,6.26,29.0,0.22,1.0,0.0,0.0,0.22,1.0,0.0,0.0
2_35_164626_9,35.62,104.0,4.79,14.0,1.03,3.0,2.4,7.0,2.74,8.0,0.34,1.0,39.73,116.0,0.0,0.0,0.0,0.0,0.68,2.0,0.34,1.0,3.08,9.0,0.34,1.0,4.11,12.0,0.0,0.0,0.68,2.0,0.34,1.0,0.0,0.0
3_97_172681_60_17,36.1,318.0,14.76,130.0,1.14,10.0,2.16,19.0,4.54,40.0,0.0,0.0,26.79,236.0,0.0,0.0,0.0,0.0,0.23,2.0,0.45,4.0,1.02,9.0,0.0,0.0,7.72,68.0,0.11,1.0,0.11,1.0,0.23,2.0,0.0,0.0
3_68_168667_13,55.25,100.0,32.04,58.0,1.1,2.0,1.1,2.0,0.55,1.0,0.0,0.0,5.52,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.0,0.0,0.0,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_61_167761_27,49.53,315.0,3.77,24.0,1.89,12.0,2.04,13.0,7.23,46.0,0.31,2.0,21.7,138.0,0.16,1.0,0.0,0.0,0.16,1.0,1.26,8.0,2.04,13.0,0.0,0.0,7.08,45.0,0.0,0.0,0.47,3.0,0.31,2.0,0.0,0.0
2_45_165796_34_15,52.94,207.0,2.3,9.0,2.81,11.0,2.05,8.0,1.53,6.0,1.02,4.0,24.81,97.0,0.26,1.0,0.0,0.0,0.26,1.0,0.0,0.0,2.81,11.0,1.28,5.0,4.09,16.0,0.0,0.0,0.26,1.0,0.26,1.0,0.0,0.0
2_24_163606_24,70.48,234.0,5.12,17.0,3.01,10.0,6.93,23.0,1.2,4.0,0.9,3.0,6.63,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,0.3,1.0,0.0,0.0,1.81,6.0,0.3,1.0,0.3,1.0,0.0,0.0,0.0,0.0
1_3_159511_22,26.94,97.0,3.89,14.0,0.83,3.0,2.22,8.0,5.0,18.0,0.0,0.0,43.33,156.0,0.0,0.0,0.0,0.0,0.56,2.0,5.28,19.0,1.94,7.0,0.0,0.0,6.11,22.0,0.28,1.0,0.0,0.0,0.83,3.0,0.0,0.0
3_70_169006_63,60.44,249.0,3.4,14.0,1.46,6.0,6.55,27.0,2.67,11.0,0.73,3.0,17.96,74.0,0.24,1.0,0.0,0.0,0.0,0.0,0.24,1.0,0.73,3.0,0.0,0.0,2.91,12.0,0.0,0.0,0.24,1.0,0.0,0.0,0.24,1.0
2_32_164314_4,52.0,182.0,5.43,19.0,2.29,8.0,0.57,2.0,2.29,8.0,0.0,0.0,24.86,87.0,0.0,0.0,0.0,0.0,0.29,1.0,0.86,3.0,0.57,2.0,0.29,1.0,6.0,21.0,0.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3_127_177445_74,34.92,308.0,2.15,19.0,0.23,2.0,0.23,2.0,1.59,14.0,0.23,2.0,22.34,197.0,16.89,149.0,14.4,127.0,1.25,11.0,0.11,1.0,0.45,4.0,0.57,5.0,0.91,8.0,0.23,2.0,0.0,0.0,1.25,11.0,0.11,1.0
3_112_174730_18,54.11,79.0,13.01,19.0,0.68,1.0,4.11,6.0,6.16,9.0,0.0,0.0,8.9,13.0,0.0,0.0,0.0,0.0,0.68,1.0,0.68,1.0,0.68,1.0,0.0,0.0,6.85,10.0,1.37,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4_143_179776_3,62.01,191.0,9.42,29.0,2.27,7.0,3.57,11.0,2.6,8.0,0.0,0.0,9.09,28.0,0.0,0.0,0.32,1.0,0.0,0.0,0.32,1.0,1.62,5.0,0.0,0.0,5.52,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.0
2_51_166672_151,39.46,309.0,3.7,29.0,0.77,6.0,1.79,14.0,6.77,53.0,0.38,3.0,34.61,271.0,0.13,1.0,0.0,0.0,0.38,3.0,1.28,10.0,1.92,15.0,0.0,0.0,6.64,52.0,0.26,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4_157_181609_22,82.61,38.0,6.52,3.0,0.0,0.0,4.35,2.0,0.0,0.0,0.0,0.0,4.35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_51_166423_68,28.16,361.0,3.82,49.0,0.94,12.0,2.03,26.0,8.11,104.0,0.78,10.0,41.42,531.0,0.08,1.0,0.0,0.0,0.08,1.0,1.17,15.0,1.48,19.0,0.23,3.0,7.72,99.0,0.16,2.0,0.7,9.0,0.16,2.0,0.0,0.0
1_17_162499_64,37.11,337.0,4.52,41.0,1.21,11.0,1.98,18.0,8.37,76.0,0.0,0.0,34.36,312.0,0.0,0.0,0.0,0.0,0.33,3.0,2.42,22.0,1.1,10.0,0.11,1.0,5.95,54.0,0.0,0.0,0.0,0.0,0.22,2.0,0.0,0.0
2_61_167755_25,55.77,382.0,5.99,41.0,1.31,9.0,2.19,15.0,6.57,45.0,0.0,0.0,12.85,88.0,0.0,0.0,0.0,0.0,0.29,2.0,1.17,8.0,1.31,9.0,0.15,1.0,9.2,63.0,0.29,2.0,0.15,1.0,0.44,3.0,0.0,0.0
4_167_183271_18,35.42,164.0,49.89,231.0,0.22,1.0,1.08,5.0,1.73,8.0,0.0,0.0,5.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1.0,0.22,1.0,0.0,0.0,2.16,10.0,0.0,0.0,0.22,1.0,0.43,2.0,0.0,0.0
1_7_160495_43,47.53,202.0,10.59,45.0,1.18,5.0,4.24,18.0,8.47,36.0,0.0,0.0,20.47,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,3.0,0.47,2.0,0.0,0.0,4.24,18.0,0.0,0.0,0.47,2.0,0.0,0.0,0.0,0.0
4_145_179998_14,76.29,148.0,5.67,11.0,1.03,2.0,4.12,8.0,0.52,1.0,0.0,0.0,6.19,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,6.0,0.0,0.0,0.52,1.0,0.0,0.0,0.0,0.0
2_46_165841_6,44.03,295.0,5.82,39.0,0.0,0.0,1.79,12.0,1.94,13.0,2.39,16.0,28.36,190.0,0.6,4.0,0.15,1.0,0.0,0.0,0.3,2.0,3.88,26.0,0.15,1.0,4.33,29.0,0.3,2.0,0.45,3.0,0.15,1.0,0.0,0.0
2_49_166057_13,39.06,266.0,9.1,62.0,2.06,14.0,2.5,17.0,4.26,29.0,1.17,8.0,31.57,215.0,0.15,1.0,0.0,0.0,0.0,0.0,1.47,10.0,1.17,8.0,0.0,0.0,4.26,29.0,0.29,2.0,0.44,3.0,0.0,0.0,0.0,0.0
4_79_170464_46,52.57,439.0,5.15,43.0,0.96,8.0,2.28,19.0,5.75,48.0,0.0,0.0,23.59,197.0,0.24,2.0,0.12,1.0,0.0,0.0,0.48,4.0,0.84,7.0,0.0,0.0,4.91,41.0,0.12,1.0,0.0,0.0,0.6,5.0,0.12,1.0
4_158_181729_20,41.81,176.0,8.79,37.0,1.19,5.0,2.38,10.0,4.75,20.0,0.0,0.0,32.3,136.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,8.0,0.48,2.0,0.0,0.0,4.04,17.0,0.0,0.0,0.48,2.0,0.0,0.0,0.0,0.0
2_43_165427_12,37.97,284.0,4.28,32.0,1.34,10.0,3.48,26.0,4.01,30.0,2.01,15.0,36.1,270.0,0.4,3.0,0.0,0.0,0.13,1.0,0.4,3.0,1.07,8.0,0.13,1.0,3.88,29.0,0.13,1.0,1.07,8.0,0.0,0.0,0.0,0.0
2_43_165433_14,45.45,410.0,3.33,30.0,1.77,16.0,2.55,23.0,4.77,43.0,4.43,40.0,26.05,235.0,0.11,1.0,0.11,1.0,0.33,3.0,1.0,9.0,2.88,26.0,0.22,2.0,2.99,27.0,0.11,1.0,0.44,4.0,0.33,3.0,0.0,0.0
3_70_168850_11,39.92,390.0,4.5,44.0,0.72,7.0,2.05,20.0,7.88,77.0,0.2,2.0,33.67,329.0,0.1,1.0,0.0,0.0,0.0,0.0,1.13,11.0,1.02,10.0,0.1,1.0,4.91,48.0,0.2,2.0,0.41,4.0,0.2,2.0,0.0,0.0
